"Product/Service Name","Category","SKU","Type","Sales Description","Sales Price","Income Account","Purchase Description","Purchase Cost","Expense Account","Taxable"
"Expertise réglementaire - standard","Services professionnels","SER-0148","Service","Expertise réglementaire - standard / h","224,95","Revenus des dépenses facturables","Expertise réglementaire - standard","87,73","Subcontractors - COS","N"
"Migration de données - urgence","Développement","DÉV-0149","Service","Migration de données - urgence / h","134,95","Revenus des dépenses facturables","Migration de données - urgence","71,52","Cost of Labour - COS","N"
"Étude de faisabilité - gamme B","Services professionnels","SER-0150","Service","Étude de faisabilité - gamme B / h","204,95","Services","Étude de faisabilité - gamme B","75,83","Subcontractors - COS","N"
"Plan de continuité - standard","Entretien et contrats","ENT-0151","Service","Plan de continuité - standard / mois","1530,00","Services","Plan de continuité - standard","887,40","Subcontractors - COS","N"
"Baie murale 9U - standard","Réseau","RÉS-0152","Non-inventory","Baie murale 9U - standard","1800,00","Revenus provenant de la vente de produits","Baie murale 9U - standard","1044,00","Coût des produits vendus","N"
"Manutention - 3 ans","Livraison et déplacement","LIV-0153","Service","Manutention - 3 ans","174,95","Shipping and Delivery Income","Manutention - 3 ans","78,73","Freight and delivery - COS","N"
"Boîtier de rangement - grande entreprise","Fournitures","FOU-0154","Non-inventory","Boîtier de rangement - grande entreprise","154,95","Revenus provenant de la vente de produits","Boîtier de rangement - grande entreprise","103,82","Coût des produits vendus","N"
"Intervention sur place - hors garantie","Soutien technique","SOU-0155","Service","Intervention sur place - hors garantie / h","89,95","Revenus des dépenses facturables","Intervention sur place - hors garantie","33,28","Cost of Labour - COS","N"
"Chiffon antistatique - essentiel","Fournitures","FOU-0156","Non-inventory","Chiffon antistatique - essentiel","159,95","Revenus provenant de la vente de produits","Chiffon antistatique - essentiel","111,96","Coût des produits vendus","N"
"Automatisation de rapports - reconditionné","Développement","DÉV-0157","Service","Automatisation de rapports - reconditionné / h","94,95","Revenus des dépenses facturables","Automatisation de rapports - reconditionné","35,13","Subcontractors - COS","N"
"Commutateur 24 ports - avancé","Réseau","RÉS-0158","Non-inventory","Commutateur 24 ports - avancé","2500,00","Sales","Commutateur 24 ports - avancé","1425,00","Supplies and materials - COS","N"
"Module fibre optique - 1 an","Réseau","RÉS-0159","Non-inventory","Module fibre optique - 1 an","689,95","Revenus provenant de la vente de produits","Module fibre optique - 1 an","531,26","Coût des produits vendus","N"
"Boîtier de rangement - 3 ans","Fournitures","FOU-0160","Non-inventory","Boîtier de rangement - 3 ans","69,95","Sales","Boîtier de rangement - 3 ans","48,96","Coût des produits vendus","N"
"Tapis de souris - grande entreprise","Fournitures","FOU-0161","Non-inventory","Tapis de souris - grande entreprise","124,95","Sales","Tapis de souris - grande entreprise","68,72","Coût des produits vendus","N"
"Module fibre optique - 3 ans","Réseau","RÉS-0162","Non-inventory","Module fibre optique - 3 ans","2570,00","Sales","Module fibre optique - 3 ans","1721,90","Purchases - COS","N"
"Intégration d'API - urgence","Développement","DÉV-0163","Service","Intégration d'API - urgence / h","99,95","Revenus des dépenses facturables","Intégration d'API - urgence","35,98","Cost of Labour - COS","N"
"Analyse de besoins - professionnel","Services professionnels","SER-0164","Service","Analyse de besoins - professionnel / h","179,95","Services","Analyse de besoins - professionnel","68,38","Subcontractors - COS","N"
"Surveillance continue - urgence","Entretien et contrats","ENT-0165","Service","Surveillance continue - urgence / mois","409,95","Services","Surveillance continue - urgence","200,88","Cost of Labour - COS","N"
"Rallonge électrique","Fournitures","FOU-0166","Non-inventory","Rallonge électrique","129,95","Sales","Rallonge électrique","74,07","Purchases - COS","N"
"Formation sur mesure","Formation","FOR-0167","Service","Formation sur mesure / jour","1690,00","Revenus des dépenses facturables","Formation sur mesure","878,80","Subcontractors - COS","N"
"Barre d'alimentation - 3 ans","Fournitures","FOU-0168","Non-inventory","Barre d'alimentation - 3 ans","49,95","Sales","Barre d'alimentation - 3 ans","35,46","Coût des produits vendus","N"
"Frais de transport interurbain - 3 ans","Livraison et déplacement","LIV-0169","Service","Frais de transport interurbain - 3 ans","219,95","Shipping and Delivery Income","Frais de transport interurbain - 3 ans","129,77","Freight and delivery - COS","N"
"Accompagnement au changement - 3 ans","Services professionnels","SER-0170","Service","Accompagnement au changement - 3 ans / h","129,95","Services","Accompagnement au changement - 3 ans","74,07","Subcontractors - COS","N"
"Infogérance complète - reconditionné","Entretien et contrats","ENT-0171","Service","Infogérance complète - reconditionné / mois","484,95","Revenus des dépenses facturables","Infogérance complète - reconditionné","281,27","Cost of Labour - COS","N"
"Tapis de souris - urgence","Fournitures","FOU-0172","Non-inventory","Tapis de souris - urgence","94,95","Revenus provenant de la vente de produits","Tapis de souris - urgence","63,62","Purchases - COS","N"
"Ordinateur portable 14 po - professionnel","Matériel informatique","MAT-0173","Non-inventory","Ordinateur portable 14 po - professionnel","2160,00","Revenus provenant de la vente de produits","Ordinateur portable 14 po - professionnel","1382,40","Supplies and materials - COS","N"
"Veille de sécurité - petite entreprise","Entretien et contrats","ENT-0174","Service","Veille de sécurité - petite entreprise / mois","884,95","Revenus des dépenses facturables","Veille de sécurité - petite entreprise","309,73","Cost of Labour - COS","N"
"Infogérance complète - sur mesure","Entretien et contrats","ENT-0175","Service","Infogérance complète - sur mesure / mois","1340,00","Revenus des dépenses facturables","Infogérance complète - sur mesure","670,00","Cost of Labour - COS","N"
"Formation en ligne - fin de semaine","Formation","FOR-0176","Service","Formation en ligne - fin de semaine / jour","1190,00","Revenus des dépenses facturables","Formation en ligne - fin de semaine","606,90","Cost of Labour - COS","N"
"Papier multiusage - 3 ans","Fournitures","FOU-0177","Non-inventory","Papier multiusage - 3 ans","14,95","Sales","Papier multiusage - 3 ans","8,67","Purchases - COS","N"
"Licence bureautique - standard","Licences et abonnements","LIC-0178","Non-inventory","Licence bureautique - standard / an","884,95","Sales","Licence bureautique - standard","672,56","Coût des produits vendus","N"
"Installation sur place - gamme B","Livraison et déplacement","LIV-0179","Service","Installation sur place - gamme B","174,95","Shipping and Delivery Income","Installation sur place - gamme B","66,48","Freight and delivery - COS","N"
"Manutention - reconditionné","Livraison et déplacement","LIV-0180","Service","Manutention - reconditionné","64,95","Shipping and Delivery Income","Manutention - reconditionné","31,83","Freight and delivery - COS","N"
"Audit de sécurité - hors garantie","Services professionnels","SER-0181","Service","Audit de sécurité - hors garantie / h","104,95","Revenus des dépenses facturables","Audit de sécurité - hors garantie","54,57","Subcontractors - COS","N"
"Surveillance de serveurs - reconditionné","Soutien technique","SOU-0182","Service","Surveillance de serveurs - reconditionné / h","79,95","Services","Surveillance de serveurs - reconditionné","44,77","Cost of Labour - COS","N"
"Chiffon antistatique - professionnel","Fournitures","FOU-0183","Non-inventory","Chiffon antistatique - professionnel","124,95","Sales","Chiffon antistatique - professionnel","78,72","Supplies and materials - COS","N"
"Formation en ligne - avancé","Formation","FOR-0184","Service","Formation en ligne - avancé / jour","1400,00","Services","Formation en ligne - avancé","826,00","Subcontractors - COS","N"
"Routeur d'entreprise - reconditionné","Réseau","RÉS-0185","Non-inventory","Routeur d'entreprise - reconditionné","829,95","Revenus provenant de la vente de produits","Routeur d'entreprise - reconditionné","564,37","Purchases - COS","N"
"Ordinateur portable 14 po","Matériel informatique","MAT-0186","Non-inventory","Ordinateur portable 14 po","1900,00","Revenus provenant de la vente de produits","Ordinateur portable 14 po","1235,00","Supplies and materials - COS","N"
"Correction d'anomalies - 3 ans","Développement","DÉV-0187","Service","Correction d'anomalies - 3 ans / h","124,95","Services","Correction d'anomalies - 3 ans","48,73","Cost of Labour - COS","N"
"Expertise réglementaire - 1 an","Services professionnels","SER-0188","Service","Expertise réglementaire - 1 an / h","104,95","Revenus des dépenses facturables","Expertise réglementaire - 1 an","53,52","Cost of Labour - COS","N"
"Livraison express - hors garantie","Livraison et déplacement","LIV-0189","Service","Livraison express - hors garantie","44,95","Shipping and Delivery Income","Livraison express - hors garantie","20,68","Freight and delivery - COS","N"
"Mises à jour gérées - professionnel","Entretien et contrats","ENT-0190","Service","Mises à jour gérées - professionnel / mois","1970,00","Revenus des dépenses facturables","Mises à jour gérées - professionnel","925,90","Cost of Labour - COS","N"
"Assistance prioritaire - professionnel","Soutien technique","SOU-0191","Service","Assistance prioritaire - professionnel / h","54,95","Services","Assistance prioritaire - professionnel","19,78","Cost of Labour - COS","N"
"Ordinateur portable 14 po - gamme B","Matériel informatique","MAT-0192","Non-inventory","Ordinateur portable 14 po - gamme B","1600,00","Revenus provenant de la vente de produits","Ordinateur portable 14 po - gamme B","1200,00","Purchases - COS","N"
"Tapis de souris - avancé","Fournitures","FOU-0193","Non-inventory","Tapis de souris - avancé","144,95","Revenus provenant de la vente de produits","Tapis de souris - avancé","84,07","Purchases - COS","N"
"Licence bureautique - reconditionné","Licences et abonnements","LIC-0194","Non-inventory","Licence bureautique - reconditionné / an","389,95","Sales","Licence bureautique - reconditionné","237,87","Purchases - COS","N"
"Licence bureautique - professionnel","Licences et abonnements","LIC-0195","Non-inventory","Licence bureautique - professionnel / an","924,95","Revenus provenant de la vente de produits","Licence bureautique - professionnel","582,72","Purchases - COS","N"
"Sauvegarde infonuagique - essentiel","Entretien et contrats","ENT-0196","Service","Sauvegarde infonuagique - essentiel / mois","609,95","Services","Sauvegarde infonuagique - essentiel","219,58","Cost of Labour - COS","N"
"Frais de transport interurbain - urgence","Livraison et déplacement","LIV-0197","Service","Frais de transport interurbain - urgence","29,95","Shipping and Delivery Income","Frais de transport interurbain - urgence","12,28","Freight and delivery - COS","N"
"Formation en ligne - 3 ans","Formation","FOR-0198","Service","Formation en ligne - 3 ans / jour","1320,00","Services","Formation en ligne - 3 ans","778,80","Subcontractors - COS","N"
"Formation comptabilité - grande entreprise","Formation","FOR-0199","Service","Formation comptabilité - grande entreprise / jour","1140,00","Revenus des dépenses facturables","Formation comptabilité - grande entreprise","501,60","Cost of Labour - COS","N"
"Garantie prolongée - gamme A","Entretien et contrats","ENT-0200","Service","Garantie prolongée - gamme A / mois","364,95","Revenus des dépenses facturables","Garantie prolongée - gamme A","204,37","Subcontractors - COS","N"
